id	lemma	part_of_speech	cefr_level	cefr_basis	cefr_source_id	frequency_band	frequency_basis	frequency_source_id	frequency_rank	provenance_ids	spelling_variants	status
master-ago-adverb	ago	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	422	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
v33	agree	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	470	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-core-2026-08		validated
master-all-determiner	all	determiner	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	83	cefrj-1.5,ngsl-gr-1.0		validated
master-all-pronoun	all	pronoun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	83	cefrj-1.5,ngsl-gr-1.0		validated
master-almost-adverb	almost	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	357	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-alone-adverb	alone	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	769	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-along-adverb	along	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	438	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-already-adverb	already	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	352	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-also-adverb	also	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	122	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-always-adverb	always	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	233	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-and-conjunction	and	conjunction	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	53	cefrj-1.5,ngsl-gr-1.0		validated
master-animal-noun	animal	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	637	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-another-determiner	another	determiner	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	190	cefrj-1.5,ngsl-gr-1.0		validated
v34	answer	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	405	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-core-2026-08		validated
master-answer-verb	answer	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	405	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-any-determiner	any	determiner	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	133	cefrj-1.5,ngsl-gr-1.0		validated
master-any-pronoun	any	pronoun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	133	cefrj-1.5,ngsl-gr-1.0		validated
master-anybody-pronoun	anybody	pronoun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1481	cefrj-1.5,ngsl-gr-1.0		validated
master-anyone-pronoun	anyone	pronoun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	804	cefrj-1.5,ngsl-gr-1.0		validated
master-anything-pronoun	anything	pronoun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	368	cefrj-1.5,ngsl-gr-1.0		validated
master-april-noun	april	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	10	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-arm-noun	arm	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	671	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-around-preposition	around	preposition	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	220	cefrj-1.5,ngsl-gr-1.0		validated
a1-arrive	arrive	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	638	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-core-2026-08		validated
master-art-noun	art	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	696	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-article-noun	article	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	680	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-as-preposition	as	preposition	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	72	cefrj-1.5,ngsl-gr-1.0		validated
master-ask-verb	ask	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	184	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-at-preposition	at	preposition	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	73	cefrj-1.5,ngsl-gr-1.0		validated
master-august-noun	august	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	13	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-away-adverb	away	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	284	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-baby-noun	baby	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	921	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-back-adverb	back	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	144	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-back-noun	back	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	144	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
foundation-a1-bad	bad	adjective	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	318	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-foundations-001-2026-08		validated
master-bag-noun	bag	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1302	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-ball-noun	ball	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1251	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-band-noun	band	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1137	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-bank-noun	bank	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	677	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-bar-noun	bar	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	887	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-be-verb	be	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	52	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-beach-noun	beach	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1347	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-bear-noun	bear	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	505	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-beautiful-adjective	beautiful	adjective	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	842	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-because-conjunction	because	conjunction	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	112	cefrj-1.5,ngsl-gr-1.0		validated
master-become-verb	become	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	191	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
foundation-a1-bed	bed	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	744	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-foundations-001-2026-08		validated
master-bedroom-noun	bedroom	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1482	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-before-adverb	before	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	156	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-before-preposition	before	preposition	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	156	cefrj-1.5,ngsl-gr-1.0		validated
a1-begin	begin	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	239	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-core-2026-08		validated
master-behind-adverb	behind	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	542	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-behind-preposition	behind	preposition	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	542	cefrj-1.5,ngsl-gr-1.0		validated
master-believe-verb	believe	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	275	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-below-adverb	below	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	811	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-below-preposition	below	preposition	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	811	cefrj-1.5,ngsl-gr-1.0		validated
master-between-preposition	between	preposition	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	166	cefrj-1.5,ngsl-gr-1.0		validated
foundation-a1-big	big	adjective	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	234	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-foundations-001-2026-08		validated
master-bird-noun	bird	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1321	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-black-adjective	black	adjective	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	461	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-black-noun	black	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	461	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-block-noun	block	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1070	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-blow-verb	blow	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1413	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-blue-adjective	blue	adjective	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	908	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-blue-noun	blue	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	908	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-board-noun	board	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	791	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-boat-noun	boat	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1354	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-body-noun	body	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	451	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
foundation-a1-book	book	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	221	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-foundations-001-2026-08		validated
master-both-determiner	both	determiner	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	178	cefrj-1.5,ngsl-gr-1.0		validated
master-both-pronoun	both	pronoun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	178	cefrj-1.5,ngsl-gr-1.0		validated
master-bottom-noun	bottom	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1292	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-box-noun	box	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	911	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-boy-noun	boy	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	560	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-brain-noun	brain	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1285	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
foundation-a1-bread	bread	noun	A1	source-backed	cefrj-1.5	common	source-backed-rank	ngsl-gr-1.0	2312	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-foundations-001-2026-08		validated
master-break-verb	break	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	418	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-bring-verb	bring	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	246	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-brother-noun	brother	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	871	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-build-verb	build	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	271	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
foundation-a1-bus	bus	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	860	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-foundations-001-2026-08		validated
master-business-noun	business	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	261	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-busy-adjective	busy	adjective	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1283	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-but-conjunction	but	conjunction	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	75	cefrj-1.5,ngsl-gr-1.0		validated
a1-buy	buy	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	292	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-core-2026-08		validated
master-by-preposition	by	preposition	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	77	cefrj-1.5,ngsl-gr-1.0		validated
master-call-noun	call	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	155	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-camera-noun	camera	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1440	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-camp-noun	camp	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1215	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-can-modal	can	modal	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	88	cefrj-1.5,ngsl-gr-1.0		validated
foundation-a1-car	car	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	310	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-foundations-001-2026-08		validated
master-card-noun	card	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	831	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-care-noun	care	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	363	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
v36	careful	adjective	A1	source-backed	cefrj-1.5	common	source-backed-rank	ngsl-gr-1.0	1687	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-core-2026-08		validated
master-carefully-adverb	carefully	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1436	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
a1-carry	carry	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	496	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-core-2026-08		validated
master-case-noun	case	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	218	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-catch-noun	catch	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	733	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
foundation-a1-chair	chair	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1110	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-foundations-001-2026-08		validated
master-change-noun	change	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	163	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-character-noun	character	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	743	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
foundation-a1-child	child	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	152	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-foundations-001-2026-08		validated
v37	choice	noun	A1	editorial-estimate		very-common	source-backed-rank	ngsl-gr-1.0	615	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-core-2026-08		validated
master-church-noun	church	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	794	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
a1-city	city	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	319	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-core-2026-08		validated
master-class-noun	class	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	412	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
a1-clean	clean	adjective	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	892	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-core-2026-08		validated
master-clean-verb	clean	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	892	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-climb-noun	climb	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1484	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-clock-noun	clock	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	982	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-close-adjective	close	adjective	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	289	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
foundation-a1-close	close	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	289	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-foundations-001-2026-08		validated
master-clothes-noun	clothes	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1006	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-club-noun	club	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	810	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-coach-noun	coach	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1392	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-code-noun	code	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1396	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
foundation-a1-coffee	coffee	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1445	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-foundations-001-2026-08		validated
foundation-a1-cold	cold	adjective	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	917	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-foundations-001-2026-08		validated
master-cold-noun	cold	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	917	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-collect-verb	collect	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1119	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-collection-noun	collection	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1134	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-college-noun	college	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	789	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
foundation-a1-come	come	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	115	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-foundations-001-2026-08		validated
master-computer-noun	computer	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	479	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-concert-noun	concert	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1432	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
v40	conversation	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1032	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-core-2026-08		validated
master-cook-noun	cook	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1246	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-cook-verb	cook	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1246	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-cool-adjective	cool	adjective	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1206	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-copy-noun	copy	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1087	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-corner-noun	corner	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1238	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
v41	correct	adjective	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1082	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-core-2026-08		validated
master-could-modal	could	modal	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	116	cefrj-1.5,ngsl-gr-1.0		validated
master-course-noun	course	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	214	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-cover-noun	cover	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	474	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-cry-noun	cry	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1252	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-culture-noun	culture	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	618	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-cup-noun	cup	noun	A1	source-backed	cefrj-1.5	common	source-backed-rank	ngsl-gr-1.0	1541	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-cut-verb	cut	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	506	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
